gene,eqZ,wbZ,ntZ,multiZ
ENSG00000064886,0.489588,0.731125,2.13287,2.02515
ENSG00000064933,-1.47143,-0.449167,-0.207764,-0.46452
ENSG00000064989,-0.571806,-0.0455151,-0.922299,-0.684348
ENSG00000064999,0.683814,-0.0125774,0.711657,0.494324
ENSG00000065000,6.73247,-1.51718,0.986285,-0.375401
ENSG00000065060,0.156376,-0.772579,-0.772579,-1.09259
ENSG00000065154,0.0687315,0.897582,-0.111845,0.5556
ENSG00000065183,1.2744,0.331015,0.331015,0.468126
ENSG00000065268,-1.09078,-1.47819,-0.803948,-1.61372
ENSG00000065308,1.58128,-0.313546,0.985039,0.474817
ENSG00000065328,0.15989,-0.698352,-1.95511,-1.87628
ENSG00000065357,2.0283,2.35173,0.550006,2.05184
ENSG00000065413,-8.48326,2.60946,4.24352,4.84579
ENSG00000065427,1.38905,0.312065,-1.40667,-0.774
ENSG00000065457,-1.01581,-0.562346,-1.23872,-1.27355
ENSG00000065485,-0.0330228,2.76672,-0.412575,1.66463
